track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3SShjQBczSt1HMpWA9zbwE,Rich As Fuck,55Aa2cqylxrFIXC767Z865,Lil Wayne,6Pqlfg42Sc3ElNuyt5NUiK,223173,2013-01-01,50,0.617,0.588,1,-6.302,1,0.464,0.0369,0.0,0.514,0.878,132.164,3SShjQBczSt1HMpWA9zbwE,3SShjQBczSt1HMpWA9zbwE
6OEolOOk9Gh9bqkdpfIOl0,Ridin' Solo,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,0DEsmIQ5ir7tz52Nkf4i1K,215746,2010-02-26,68,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,6OEolOOk9Gh9bqkdpfIOl0,6OEolOOk9Gh9bqkdpfIOl0
2aPDN7JafbyNHpgc3lyC93,Second to Right,1uQXG73H5lbcxVXcCHSjZ5,Transit,4bp42H4RiZzuW4vTknn1TJ,194293,2013-04-02,21,0.5,0.933,6,-3.235,1,0.0617,0.0796,2.63e-06,0.0765,0.672,156.027,2aPDN7JafbyNHpgc3lyC93,2aPDN7JafbyNHpgc3lyC93
2vpVa09ocfQ3EqQJu2UQYw,See You In My Nightmares,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,2JK89jt4unItFroOr0kT3g,258120,2008-11-24,0,0.674,0.441,7,-7.86,0,0.033,0.0717,0.0,0.104,0.157,124.568,2vpVa09ocfQ3EqQJu2UQYw,2vpVa09ocfQ3EqQJu2UQYw
282L6SR4Y8Rs0VUgtEy1Zw,She Knows (feat. Amber Coffman & Cults),6l3HvQ5sa6mXTsMTB19rO5,J. Cole,1NfrmcXk8xNennyxQ57JcW,296520,2013-06-14,57,0.766,0.739,1,-10.364,1,0.0805,0.0192,0.0794,0.229,0.185,118.005,282L6SR4Y8Rs0VUgtEy1Zw,282L6SR4Y8Rs0VUgtEy1Zw
1XzvZmMmIeAyiAK8JrEtdj,Should've Gone to Bed,1g1yxsNVPhMUl9GrMjEb2o,Plain White T's,1nwQLNE0a5GSogIbRlH51H,198533,2013-04-09,0,0.645,0.81,8,-4.247,1,0.0242,0.00121,0.0,0.119,0.885,93.176,1XzvZmMmIeAyiAK8JrEtdj,1XzvZmMmIeAyiAK8JrEtdj
5xsUEFPUiIMAkLALeAo4hE,Skipping Stone (Alt. version),1uQXG73H5lbcxVXcCHSjZ5,Transit,3QSCH7qKDN5sWwC6upY5df,214938,2012-07-17,21,0.483,0.699,1,-6.919,1,0.0354,0.00585,1.36e-06,0.0307,0.596,114.998,5xsUEFPUiIMAkLALeAo4hE,5xsUEFPUiIMAkLALeAo4hE
5UdeAwzMlglN5H0el5wvbu,"So Long, And Thanks For All The Booze",46gyXjRIvN1NL1eCB8GBxo,All Time Low,0lmIFMrXPf8w7WyaMcYBrN,189546,2013-09-30,0,0.426,0.983,1,-3.762,1,0.0867,3.74e-05,0.00012,0.266,0.612,175.025,5UdeAwzMlglN5H0el5wvbu,5UdeAwzMlglN5H0el5wvbu
6dJRP4pXk4SOzWfhfHL3Or,So Much Better,7dGJo4pcD2V6oG8kP0tJRR,Eminem,6DN7GcZF1HywzrkGN6Eeqk,261386,2013-11-05,52,0.719,0.858,10,-1.366,0,0.25,0.252,0.0,0.628,0.616,84.497,6dJRP4pXk4SOzWfhfHL3Or,6dJRP4pXk4SOzWfhfHL3Or
773GlfTf841YG0H8UHAdaP,Solo Dolo,1LrWZc2qPhRCHyr6XtpBxq,Dizzy Wright,5izCwEozOCJUxzDEcXagJ5,214168,2012-04-20,29,0.596,0.507,9,-11.158,0,0.0908,0.113,0.0,0.122,0.0874,130.032,773GlfTf841YG0H8UHAdaP,773GlfTf841YG0H8UHAdaP
